concept_id,notice_no,route_id,route_name,notice_group,notice_name,concept_no,concept_keyword,public_title,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_target,failure_condition,follow_up,public_notice_text
concept_002_04,2,solver,해결사,민생·구조,소문·괴담 검증,4,말하는 우물 괴담,소문·괴담 검증 – 말하는 우물 괴담,하급~중급,"말하는 우물 괴담 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 말하는 우물 괴담와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 말하는 우물 괴담] 말하는 우물 괴담 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 말하는 우물 괴담와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_05,2,solver,해결사,민생·구조,소문·괴담 검증,5,벽에 저절로 생기는 문양,소문·괴담 검증 – 벽에 저절로 생기는 문양,하급~중급,"벽에 저절로 생기는 문양 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 벽에 저절로 생기는 문양와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 벽에 저절로 생기는 문양] 벽에 저절로 생기는 문양 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 벽에 저절로 생기는 문양와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_06,2,solver,해결사,민생·구조,소문·괴담 검증,6,잠들지 못하는 마을,소문·괴담 검증 – 잠들지 못하는 마을,하급~중급,"잠들지 못하는 마을 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 잠들지 못하는 마을와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 잠들지 못하는 마을] 잠들지 못하는 마을 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 잠들지 못하는 마을와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_07,2,solver,해결사,민생·구조,소문·괴담 검증,7,죽은 자의 목소리 소문,소문·괴담 검증 – 죽은 자의 목소리 소문,하급~중급,"죽은 자의 목소리 소문 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 죽은 자의 목소리 소문와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 죽은 자의 목소리 소문] 죽은 자의 목소리 소문 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 죽은 자의 목소리 소문와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_01,3,solver,해결사,민생·구조,탐사대 구조,1,연락 두절 조사대,탐사대 구조 – 연락 두절 조사대,하급~중급,"연락 두절 조사대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 연락 두절 조사대와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 연락 두절 조사대] 연락 두절 조사대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 연락 두절 조사대와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_02,3,solver,해결사,민생·구조,탐사대 구조,2,마지막 좌표가 바뀐 탐사대,탐사대 구조 – 마지막 좌표가 바뀐 탐사대,하급~중급,"마지막 좌표가 바뀐 탐사대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 마지막 좌표가 바뀐 탐사대와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 마지막 좌표가 바뀐 탐사대] 마지막 좌표가 바뀐 탐사대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 마지막 좌표가 바뀐 탐사대와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_03,3,solver,해결사,민생·구조,탐사대 구조,3,기록원만 돌아온 원정대,탐사대 구조 – 기록원만 돌아온 원정대,하급~중급,"기록원만 돌아온 원정대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 기록원만 돌아온 원정대와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 기록원만 돌아온 원정대] 기록원만 돌아온 원정대 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 기록원만 돌아온 원정대와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_04,3,solver,해결사,민생·구조,탐사대 구조,4,정제사 실종 현장,탐사대 구조 – 정제사 실종 현장,하급~중급,"정제사 실종 현장 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 정제사 실종 현장와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 정제사 실종 현장] 정제사 실종 현장 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 정제사 실종 현장와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_05,3,solver,해결사,민생·구조,탐사대 구조,5,던전 내부 고립 파티,탐사대 구조 – 던전 내부 고립 파티,하급~중급,"던전 내부 고립 파티 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 던전 내부 고립 파티와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 던전 내부 고립 파티] 던전 내부 고립 파티 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 던전 내부 고립 파티와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_003_06,3,solver,해결사,민생·구조,탐사대 구조,6,신호만 남은 관측 장비,탐사대 구조 – 신호만 남은 관측 장비,하급~중급,"신호만 남은 관측 장비 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다.,"현장에서는 신호만 남은 관측 장비와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조 – 신호만 남은 관측 장비] 신호만 남은 관측 장비 사안이 접수되었다. 연맹은 이를 탐사대 구조 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 실종된 탐사 인원을 추적하고 남은 기록과 장비를 회수한다는 것이다. 현장에서는 신호만 남은 관측 장비와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
