notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
11,notice_011_solver_잔향_농도_측정,solver,해결사,잔향·침식 조사,잔향 농도 측정,중급,잔향 농도 측정 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.,잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다.,"현장은 '잔향 농도 측정' 성격의 사건으로 분류되며, 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.","잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다.",당사자나 주변인이 침식 사실을 인정하지 않아 격리와 관측이 어려워진다.,"잔향 농도, 침식 증상, 노출 시간, 격리 판정 기록",침식원이 방치되어 주변 지역으로 확산된다.,룬이나 진보 개체 징후가 확인되면 고위험 조사로 재분류한다.,"[잔향 농도 측정] 잔향 농도 측정 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다. 주요 목표는 잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다. 확인해야 할 미지는 잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다. 실패 시 침식원이 방치되어 주변 지역으로 확산된다."
12,notice_012_solver_잔향_침식자_관찰,solver,해결사,잔향·침식 조사,잔향 침식자 관찰,중급,잔향 침식자 관찰 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.,잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다.,"현장은 '잔향 침식자 관찰' 성격의 사건으로 분류되며, 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.","잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다.",당사자나 주변인이 침식 사실을 인정하지 않아 격리와 관측이 어려워진다.,"잔향 농도, 침식 증상, 노출 시간, 격리 판정 기록",침식원이 방치되어 주변 지역으로 확산된다.,룬이나 진보 개체 징후가 확인되면 고위험 조사로 재분류한다.,"[잔향 침식자 관찰] 잔향 침식자 관찰 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다. 주요 목표는 잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다. 확인해야 할 미지는 잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다. 실패 시 침식원이 방치되어 주변 지역으로 확산된다."
13,notice_013_solver_검은_광기_조사,solver,해결사,잔향·침식 조사,검은 광기 조사,중급,검은 광기 조사 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.,잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다.,"현장은 '검은 광기 조사' 성격의 사건으로 분류되며, 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.","잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다.",당사자나 주변인이 침식 사실을 인정하지 않아 격리와 관측이 어려워진다.,"잔향 농도, 침식 증상, 노출 시간, 격리 판정 기록",침식원이 방치되어 주변 지역으로 확산된다.,룬이나 진보 개체 징후가 확인되면 고위험 조사로 재분류한다.,"[검은 광기 조사] 검은 광기 조사 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다. 주요 목표는 잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다. 확인해야 할 미지는 잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다. 실패 시 침식원이 방치되어 주변 지역으로 확산된다."
14,notice_014_solver_진보_개체_추적,solver,해결사,잔향·침식 조사,진보 개체 추적,중급,진보 개체 추적 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.,잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다.,"현장은 '진보 개체 추적' 성격의 사건으로 분류되며, 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.","잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다.",당사자나 주변인이 침식 사실을 인정하지 않아 격리와 관측이 어려워진다.,"잔향 농도, 침식 증상, 노출 시간, 격리 판정 기록",침식원이 방치되어 주변 지역으로 확산된다.,룬이나 진보 개체 징후가 확인되면 고위험 조사로 재분류한다.,"[진보 개체 추적] 진보 개체 추적 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다. 주요 목표는 잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다. 확인해야 할 미지는 잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다. 실패 시 침식원이 방치되어 주변 지역으로 확산된다."
15,notice_015_solver_침식_확산선_차단,solver,해결사,잔향·침식 조사,침식 확산선 차단,중급,침식 확산선 차단 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.,잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다.,"현장은 '침식 확산선 차단' 성격의 사건으로 분류되며, 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다.","잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다.",당사자나 주변인이 침식 사실을 인정하지 않아 격리와 관측이 어려워진다.,"잔향 농도, 침식 증상, 노출 시간, 격리 판정 기록",침식원이 방치되어 주변 지역으로 확산된다.,룬이나 진보 개체 징후가 확인되면 고위험 조사로 재분류한다.,"[침식 확산선 차단] 침식 확산선 차단 공고는 잔향의 농도와 침식 양상을 확인하고 확산 가능성을 판정하는 공고다. 주요 목표는 잔향 반응과 침식 양상을 관측하고 안전 판정 또는 격리 필요성을 판단한다. 확인해야 할 미지는 잔향이 일시적 잔류인지, 확산 가능한 침식원인지 확인해야 한다. 실패 시 침식원이 방치되어 주변 지역으로 확산된다."
16,notice_016_solver_룬_기록_판독,solver,해결사,잔향의 룬 대응,룬 기록·판독,중급~상급,룬 기록·판독 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '룬 기록·판독' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[룬 기록·판독] 룬 기록·판독 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
17,notice_017_solver_룬_격리,solver,해결사,잔향의 룬 대응,룬 격리,중급~상급,룬 격리 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '룬 격리' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[룬 격리] 룬 격리 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
18,notice_018_solver_룬_재현성_검증,solver,해결사,잔향의 룬 대응,룬 재현성 검증,중급~상급,룬 재현성 검증 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '룬 재현성 검증' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[룬 재현성 검증] 룬 재현성 검증 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
19,notice_019_solver_개체형_룬_관찰,solver,해결사,잔향의 룬 대응,개체형 룬 관찰,중급~상급,개체형 룬 관찰 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '개체형 룬 관찰' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[개체형 룬 관찰] 개체형 룬 관찰 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
20,notice_020_solver_룬_악용_차단,solver,해결사,잔향의 룬 대응,룬 악용 차단,중급~상급,룬 악용 차단 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '룬 악용 차단' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[룬 악용 차단] 룬 악용 차단 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
21,notice_021_solver_흑마석_광맥_조사,solver,해결사,정제·자원,흑마석 광맥 조사,중급,"흑마석 광맥 조사 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '흑마석 광맥 조사' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[흑마석 광맥 조사] 흑마석 광맥 조사 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
22,notice_022_solver_정제_안정성_검증,solver,해결사,정제·자원,정제 안정성 검증,중급,"정제 안정성 검증 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '정제 안정성 검증' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[정제 안정성 검증] 정제 안정성 검증 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
